week_starting,task,hours
2026-07-27,Scoring interview answers,13.0
2026-07-27,Replying to candidate emails,3.5
2026-07-27,Scheduling interviews,2.5
2026-07-27,Onboarding new joiners,6.0
2026-07-27,Payroll and leave admin,5.0
2026-07-27,Other,4.0
2026-08-03,Scoring interview answers,15.5
2026-08-03,Replying to candidate emails,2.5
2026-08-03,Scheduling interviews,3.5
2026-08-03,Onboarding new joiners,7.5
2026-08-03,Payroll and leave admin,5.5
2026-08-03,Other,5.5
2026-08-10,Scoring interview answers,16.5
2026-08-10,Replying to candidate emails,3.5
2026-08-10,Scheduling interviews,4.5
2026-08-10,Onboarding new joiners,3.0
2026-08-10,Payroll and leave admin,6.0
2026-08-10,Other,3.5
2026-08-17,Scoring interview answers,14.5
2026-08-17,Replying to candidate emails,2.5
2026-08-17,Scheduling interviews,6.5
2026-08-17,Onboarding new joiners,6.0
2026-08-17,Payroll and leave admin,5.0
2026-08-17,Other,5.5
2026-08-24,Scoring interview answers,15.5
2026-08-24,Replying to candidate emails,2.5
2026-08-24,Scheduling interviews,4.0
2026-08-24,Onboarding new joiners,5.0
2026-08-24,Payroll and leave admin,5.5
2026-08-24,Other,4.5
2026-08-31,Scoring interview answers,14.5
2026-08-31,Replying to candidate emails,2.5
2026-08-31,Scheduling interviews,5.5
2026-08-31,Onboarding new joiners,2.5
2026-08-31,Payroll and leave admin,6.0
2026-08-31,Other,4.0
2026-09-07,Scoring interview answers,13.5
2026-09-07,Replying to candidate emails,3.0
2026-09-07,Scheduling interviews,4.0
2026-09-07,Onboarding new joiners,4.5
2026-09-07,Payroll and leave admin,5.5
2026-09-07,Other,6.0
2026-09-14,Scoring interview answers,14.0
2026-09-14,Replying to candidate emails,3.0
2026-09-14,Scheduling interviews,4.0
2026-09-14,Onboarding new joiners,7.5
2026-09-14,Payroll and leave admin,6.5
2026-09-14,Other,3.0
