answer_ref,candidate_id,role,question_id,scored_on,scorer_1,score_1,scorer_2,score_2
S0001,C3024,Customer Success Associate,Q1,2026-08-05,lan.pham@example.com,2,minh.tran@example.com,3
S0002,C3024,Customer Success Associate,Q2,2026-08-05,lan.pham@example.com,4,minh.tran@example.com,3
S0003,C3024,Customer Success Associate,Q3,2026-08-05,lan.pham@example.com,2,minh.tran@example.com,3
S0004,C3024,Customer Success Associate,Q4,2026-08-05,lan.pham@example.com,2,minh.tran@example.com,2
S0005,C3024,Customer Success Associate,Q5,2026-08-05,lan.pham@example.com,1,minh.tran@example.com,1
S0006,C3024,Customer Success Associate,Q6,2026-08-05,lan.pham@example.com,1,minh.tran@example.com,2
S0007,C3022,Customer Success Associate,Q1,2026-08-06,lan.pham@example.com,3,minh.tran@example.com,4
S0008,C3022,Customer Success Associate,Q2,2026-08-06,lan.pham@example.com,4,minh.tran@example.com,4
S0009,C3022,Customer Success Associate,Q3,2026-08-06,lan.pham@example.com,3,minh.tran@example.com,3
S0010,C3022,Customer Success Associate,Q4,2026-08-06,lan.pham@example.com,3,minh.tran@example.com,3
S0011,C3022,Customer Success Associate,Q5,2026-08-06,lan.pham@example.com,4,minh.tran@example.com,4
S0012,C3022,Customer Success Associate,Q6,2026-08-06,lan.pham@example.com,4,minh.tran@example.com,4
S0013,C3023,Finance Analyst,Q1,2026-08-06,lan.pham@example.com,1,minh.tran@example.com,1
S0014,C3023,Finance Analyst,Q2,2026-08-06,lan.pham@example.com,3,minh.tran@example.com,3
S0015,C3023,Finance Analyst,Q3,2026-08-06,lan.pham@example.com,1,minh.tran@example.com,2
S0016,C3023,Finance Analyst,Q4,2026-08-06,lan.pham@example.com,2,minh.tran@example.com,2
S0017,C3023,Finance Analyst,Q5,2026-08-06,lan.pham@example.com,1,minh.tran@example.com,1
S0018,C3023,Finance Analyst,Q6,2026-08-06,lan.pham@example.com,3,minh.tran@example.com,2
S0019,C3010,Backend Engineer,Q1,2026-08-08,lan.pham@example.com,1,minh.tran@example.com,1
S0020,C3010,Backend Engineer,Q2,2026-08-08,lan.pham@example.com,2,minh.tran@example.com,2
S0021,C3010,Backend Engineer,Q3,2026-08-08,lan.pham@example.com,1,minh.tran@example.com,1
S0022,C3010,Backend Engineer,Q4,2026-08-08,lan.pham@example.com,2,minh.tran@example.com,2
S0023,C3010,Backend Engineer,Q5,2026-08-08,lan.pham@example.com,3,minh.tran@example.com,3
S0024,C3010,Backend Engineer,Q6,2026-08-08,lan.pham@example.com,2,minh.tran@example.com,1
S0025,C3027,Backend Engineer,Q1,2026-08-07,lan.pham@example.com,4,minh.tran@example.com,4
S0026,C3027,Backend Engineer,Q2,2026-08-07,lan.pham@example.com,3,minh.tran@example.com,3
S0027,C3027,Backend Engineer,Q3,2026-08-07,lan.pham@example.com,3,minh.tran@example.com,4
S0028,C3027,Backend Engineer,Q4,2026-08-07,lan.pham@example.com,4,minh.tran@example.com,2
S0029,C3027,Backend Engineer,Q5,2026-08-07,lan.pham@example.com,3,minh.tran@example.com,4
S0030,C3027,Backend Engineer,Q6,2026-08-07,lan.pham@example.com,4,minh.tran@example.com,4
S0031,C3020,Marketing Coordinator,Q1,2026-08-03,lan.pham@example.com,3,minh.tran@example.com,2
S0032,C3020,Marketing Coordinator,Q2,2026-08-03,lan.pham@example.com,1,minh.tran@example.com,3
S0033,C3020,Marketing Coordinator,Q3,2026-08-03,lan.pham@example.com,1,minh.tran@example.com,1
S0034,C3020,Marketing Coordinator,Q4,2026-08-03,lan.pham@example.com,3,minh.tran@example.com,3
S0035,C3020,Marketing Coordinator,Q5,2026-08-03,lan.pham@example.com,3,minh.tran@example.com,3
S0036,C3020,Marketing Coordinator,Q6,2026-08-03,lan.pham@example.com,3,minh.tran@example.com,4
S0037,C3001,Marketing Coordinator,Q1,2026-08-09,lan.pham@example.com,4,minh.tran@example.com,3
S0038,C3001,Marketing Coordinator,Q2,2026-08-09,lan.pham@example.com,2,minh.tran@example.com,2
S0039,C3001,Marketing Coordinator,Q3,2026-08-09,lan.pham@example.com,4,minh.tran@example.com,4
S0040,C3001,Marketing Coordinator,Q4,2026-08-09,lan.pham@example.com,4,minh.tran@example.com,4
S0041,C3001,Marketing Coordinator,Q5,2026-08-09,lan.pham@example.com,3,minh.tran@example.com,3
S0042,C3001,Marketing Coordinator,Q6,2026-08-09,lan.pham@example.com,3,minh.tran@example.com,2
S0043,C3014,Customer Success Associate,Q1,2026-08-07,lan.pham@example.com,2,minh.tran@example.com,4
S0044,C3014,Customer Success Associate,Q2,2026-08-07,lan.pham@example.com,1,minh.tran@example.com,3
S0045,C3014,Customer Success Associate,Q3,2026-08-07,lan.pham@example.com,1,minh.tran@example.com,1
S0046,C3014,Customer Success Associate,Q4,2026-08-07,lan.pham@example.com,2,minh.tran@example.com,2
S0047,C3014,Customer Success Associate,Q5,2026-08-07,lan.pham@example.com,4,minh.tran@example.com,4
S0048,C3014,Customer Success Associate,Q6,2026-08-07,lan.pham@example.com,2,minh.tran@example.com,2
S0049,C3018,Backend Engineer,Q1,2026-08-08,lan.pham@example.com,3,minh.tran@example.com,3
S0050,C3018,Backend Engineer,Q2,2026-08-08,lan.pham@example.com,3,minh.tran@example.com,3
S0051,C3018,Backend Engineer,Q3,2026-08-08,lan.pham@example.com,3,minh.tran@example.com,3
S0052,C3018,Backend Engineer,Q4,2026-08-08,lan.pham@example.com,2,minh.tran@example.com,4
S0053,C3018,Backend Engineer,Q5,2026-08-08,lan.pham@example.com,4,minh.tran@example.com,4
S0054,C3018,Backend Engineer,Q6,2026-08-08,lan.pham@example.com,4,minh.tran@example.com,2
S0055,C3004,Marketing Coordinator,Q1,2026-08-10,lan.pham@example.com,3,minh.tran@example.com,2
S0056,C3004,Marketing Coordinator,Q2,2026-08-10,lan.pham@example.com,2,minh.tran@example.com,4
S0057,C3004,Marketing Coordinator,Q3,2026-08-10,lan.pham@example.com,3,minh.tran@example.com,3
S0058,C3004,Marketing Coordinator,Q4,2026-08-10,lan.pham@example.com,3,minh.tran@example.com,3
S0059,C3004,Marketing Coordinator,Q5,2026-08-10,lan.pham@example.com,4,minh.tran@example.com,4
S0060,C3004,Marketing Coordinator,Q6,2026-08-10,lan.pham@example.com,3,minh.tran@example.com,3
S0061,C3021,Finance Analyst,Q1,2026-08-15,lan.pham@example.com,2,minh.tran@example.com,2
S0062,C3021,Finance Analyst,Q2,2026-08-15,lan.pham@example.com,4,minh.tran@example.com,2
