run_id,date,app_id,explorer_model_usd,reporter_model_usd,device_minutes,device_usd,retries,retry_model_usd,retry_device_minutes,retry_device_usd,total_usd,reports_sent,reports_accepted_by_customer
run-0068,2026-08-01,app-retail-02,3.54,1.86,88.5,10.62,1,3.40,85.1,10.21,29.63,11,9
run-0074,2026-08-01,app-bank-01,2.39,1.37,66.2,7.94,2,3.77,104.2,12.50,27.97,10,8
run-0082,2026-08-01,app-retail-02,3.44,1.27,68.3,8.20,2,5.40,107.3,12.87,31.18,12,8
run-0090,2026-08-01,app-bank-01,3.28,0.94,65.8,7.90,1,2.54,50.9,6.11,20.77,12,7
run-0098,2026-08-01,app-food-01,3.64,1.35,71.2,8.54,1,2.66,52.0,6.24,22.43,8,5
run-0179,2026-08-01,app-retail-01,2.26,1.68,86.0,10.32,0,0.00,0.0,0.00,14.26,7,4
run-0205,2026-08-01,app-retail-01,3.12,2.16,97.7,11.72,0,0.00,0.0,0.00,17.00,11,9
run-0255,2026-08-01,app-retail-01,2.19,1.02,64.5,7.74,2,3.99,117.5,14.10,29.04,13,11
run-0345,2026-08-01,app-retail-01,1.50,1.14,69.4,8.33,1,1.47,67.8,8.14,20.58,7,6
run-0347,2026-08-01,app-travel-01,3.10,1.02,69.1,8.30,2,4.97,110.9,13.30,30.69,4,2
run-0391,2026-08-01,app-retail-02,1.72,1.32,73.7,8.84,0,0.00,0.0,0.00,11.88,8,5
run-0005,2026-08-02,app-retail-02,2.82,1.22,87.3,10.47,1,2.06,63.6,7.63,24.20,3,2
run-0012,2026-08-02,app-bank-01,3.22,1.22,88.4,10.61,2,5.48,150.5,18.06,38.59,10,8
run-0101,2026-08-02,app-travel-01,2.89,1.66,84.9,10.19,2,4.96,145.8,17.49,37.19,8,6
run-0128,2026-08-02,app-ride-01,2.67,1.23,47.8,5.73,1,2.60,46.5,5.58,17.81,6,2
run-0143,2026-08-02,app-retail-01,2.40,1.59,54.7,6.56,1,2.27,51.9,6.23,19.05,15,7
run-0213,2026-08-02,app-health-01,2.41,1.55,79.1,9.49,1,1.82,59.9,7.19,22.46,8,5
run-0233,2026-08-02,app-health-01,3.52,1.29,62.9,7.55,0,0.00,0.0,0.00,12.36,12,8
run-0249,2026-08-02,app-retail-01,2.77,1.50,82.7,9.92,1,2.35,70.2,8.43,24.97,5,3
run-0256,2026-08-02,app-edu-01,1.61,1.50,75.5,9.06,3,4.44,208.3,25.00,41.61,11,8
run-0258,2026-08-02,app-health-01,3.45,1.46,43.9,5.27,0,0.00,0.0,0.00,10.18,6,5
run-0298,2026-08-02,app-edu-01,2.65,1.11,52.3,6.27,2,4.09,80.6,9.67,23.79,11,3
run-0332,2026-08-02,app-health-01,2.90,1.40,89.9,10.78,2,5.47,169.5,20.34,40.89,6,5
run-0357,2026-08-02,app-health-01,3.46,1.30,88.0,10.56,0,0.00,0.0,0.00,15.32,14,9
run-0053,2026-08-03,app-travel-01,2.86,1.49,55.7,6.69,0,0.00,0.0,0.00,11.04,13,9
run-0157,2026-08-03,app-travel-01,5.11,1.51,56.3,6.75,3,13.59,149.5,17.93,44.89,13,10
run-0309,2026-08-03,app-edu-01,3.42,1.52,60.6,7.27,0,0.00,0.0,0.00,12.21,6,3
run-0323,2026-08-03,app-health-01,3.06,0.99,70.1,8.41,1,2.85,65.2,7.83,23.14,10,8
run-0041,2026-08-04,app-bank-01,2.49,1.74,73.5,8.83,0,0.00,0.0,0.00,13.06,8,4
run-0058,2026-08-04,app-edu-01,2.96,1.14,76.0,9.11,2,4.77,122.6,14.71,32.69,11,6
run-0104,2026-08-04,app-retail-02,3.93,1.57,50.5,6.06,1,3.51,45.1,5.41,20.48,7,5
run-0105,2026-08-04,app-edu-01,2.18,0.86,68.3,8.20,1,1.72,53.8,6.46,19.42,10,6
run-0191,2026-08-04,app-travel-01,2.60,1.77,62.9,7.55,0,0.00,0.0,0.00,11.92,3,2
run-0282,2026-08-04,app-edu-01,3.07,1.24,84.4,10.12,0,0.00,0.0,0.00,14.43,11,8
run-0288,2026-08-04,app-ride-01,2.65,1.61,79.0,9.48,2,3.84,114.6,13.75,31.33,9,5
run-0296,2026-08-04,app-retail-02,3.11,1.02,65.7,7.89,0,0.00,0.0,0.00,12.02,10,9
run-0316,2026-08-04,app-health-01,2.74,1.45,85.4,10.25,1,2.41,75.3,9.03,25.88,7,5
run-0007,2026-08-05,app-retail-02,3.66,1.15,77.1,9.25,0,0.00,0.0,0.00,14.06,5,3
run-0019,2026-08-05,app-retail-02,2.31,1.44,43.6,5.24,2,4.03,76.1,9.13,22.15,5,2
run-0029,2026-08-05,app-food-01,3.30,1.44,91.0,10.92,3,9.07,249.8,29.98,54.71,14,9
run-0042,2026-08-05,app-bank-01,2.66,1.80,78.1,9.38,0,0.00,0.0,0.00,13.84,11,8
run-0054,2026-08-05,app-edu-01,3.59,1.44,75.0,9.00,2,5.83,121.7,14.61,34.47,10,9
run-0091,2026-08-05,app-edu-01,3.37,1.45,59.6,7.15,3,8.41,148.6,17.84,38.22,7,5
run-0126,2026-08-05,app-bank-01,3.14,1.76,72.1,8.66,1,2.63,60.5,7.26,23.45,6,2
run-0135,2026-08-05,app-retail-01,3.38,1.82,74.0,8.88,1,2.48,54.4,6.53,23.09,9,7
run-0151,2026-08-05,app-retail-01,2.49,1.89,70.2,8.43,2,4.16,117.4,14.09,31.06,13,11
run-0158,2026-08-05,app-ride-01,3.40,1.77,43.2,5.18,2,6.27,79.5,9.55,26.17,6,3
run-0167,2026-08-05,app-health-01,3.13,1.71,83.7,10.04,2,4.91,131.3,15.75,35.54,9,4
run-0181,2026-08-05,app-edu-01,3.26,1.58,75.7,9.09,1,2.36,54.7,6.57,22.86,9,5
run-0198,2026-08-05,app-travel-01,1.83,1.71,70.2,8.42,1,1.38,53.0,6.35,19.69,10,7
run-0215,2026-08-05,app-ride-01,3.61,1.54,83.4,10.01,0,0.00,0.0,0.00,15.16,10,5
run-0225,2026-08-05,app-food-01,3.00,1.66,70.4,8.45,0,0.00,0.0,0.00,13.11,14,10
run-0242,2026-08-05,app-travel-01,2.36,1.76,59.4,7.13,0,0.00,0.0,0.00,11.25,8,3
run-0260,2026-08-05,app-edu-01,2.55,1.82,75.3,9.04,0,0.00,0.0,0.00,13.41,7,4
run-0287,2026-08-05,app-travel-01,2.47,1.74,44.6,5.35,0,0.00,0.0,0.00,9.56,9,5
run-0302,2026-08-05,app-retail-01,2.50,1.75,105.9,12.71,0,0.00,0.0,0.00,16.96,10,8
run-0307,2026-08-05,app-edu-01,2.28,1.30,50.3,6.04,1,1.92,42.3,5.07,16.61,5,5
run-0334,2026-08-05,app-retail-02,3.66,0.90,75.9,9.11,0,0.00,0.0,0.00,13.67,6,6
run-0390,2026-08-05,app-food-01,3.68,1.56,57.5,6.90,1,2.65,41.5,4.98,19.77,8,5
run-0400,2026-08-05,app-bank-01,2.95,1.74,75.8,9.09,2,4.59,118.1,14.17,32.54,10,7
run-0013,2026-08-06,app-bank-01,2.35,1.55,91.5,10.99,1,1.94,75.3,9.03,25.86,13,11
run-0071,2026-08-06,app-edu-01,2.21,1.22,78.0,9.36,1,1.64,57.9,6.95,21.38,10,8
run-0076,2026-08-06,app-retail-01,2.08,1.31,68.2,8.18,2,3.57,116.9,14.03,29.17,9,5
run-0086,2026-08-06,app-health-01,1.99,1.58,61.2,7.34,1,1.45,44.5,5.34,17.70,7,4
run-0147,2026-08-06,app-bank-01,2.19,1.81,79.8,9.58,1,1.59,58.1,6.97,22.14,12,6
run-0199,2026-08-06,app-edu-01,2.51,1.49,60.2,7.22,1,2.34,56.1,6.73,20.29,6,4
run-0239,2026-08-06,app-ride-01,3.12,1.00,75.9,9.10,1,2.51,61.1,7.33,23.06,10,4
run-0269,2026-08-06,app-retail-02,3.07,1.80,94.8,11.37,1,2.98,92.1,11.05,30.27,4,2
run-0292,2026-08-06,app-health-01,3.23,1.63,70.6,8.47,0,0.00,0.0,0.00,13.33,3,3
run-0311,2026-08-06,app-ride-01,3.09,1.73,80.6,9.68,0,0.00,0.0,0.00,14.50,9,6
run-0320,2026-08-06,app-ride-01,3.16,1.47,97.4,11.68,2,6.02,185.6,22.27,44.60,9,6
run-0338,2026-08-06,app-retail-01,2.36,1.58,77.3,9.27,1,1.74,57.1,6.85,21.80,7,2
run-0364,2026-08-06,app-edu-01,3.00,1.33,56.0,6.72,1,2.66,49.6,5.96,19.67,9,7
run-0103,2026-08-07,app-retail-01,3.52,1.77,78.8,9.45,3,8.24,184.1,22.09,45.07,10,8
run-0133,2026-08-07,app-travel-01,2.92,1.71,31.9,3.83,0,0.00,0.0,0.00,8.46,10,5
run-0137,2026-08-07,app-ride-01,4.40,1.65,84.5,10.14,0,0.00,0.0,0.00,16.19,11,7
run-0140,2026-08-07,app-retail-01,1.93,1.72,71.6,8.60,2,3.39,125.6,15.07,30.71,9,7
run-0162,2026-08-07,app-food-01,2.23,1.27,52.3,6.27,3,5.56,130.0,15.60,30.93,7,6
